,Angles
723,"[115.449, 112.259, 112.018, 107.975, 105.029, 104.229]"
724,"[113.385, 112.42, 110.616, 110.066, 108.457, 101.327]"
729,"[134.7, 124.904, 103.203, 98.221, 97.394, 82.421]"
731,"[163.884, 118.555, 100.644, 98.274, 92.138, 67.014]"
733,"[135.61, 125.1, 108.869, 108.621, 91.301, 76.644]"
734,"[157.533, 96.5, 79.1, 78.522, 75.83, 75.339]"
738,"[112.768, 109.524, 109.506, 108.966, 108.463, 107.524]"
751,"[111.562, 110.677, 110.402, 109.889, 107.999, 106.338]"
752,"[130.889, 130.889, 126.484, 85.584, 82.958, 82.958]"
753,"[124.035, 124.035, 119.98, 96.344, 91.971, 91.971]"
754,"[114.123, 109.792, 108.222, 108.222, 108.222, 108.222]"
756,"[121.884, 119.96, 114.715, 101.128, 97.747, 96.506]"
759,"[116.494, 111.851, 108.542, 107.951, 107.368, 104.2]"
760,"[121.399, 119.525, 114.885, 100.824, 98.679, 97.019]"
763,"[115.779, 112.34, 108.723, 108.276, 107.002, 104.276]"
764,"[122.991, 119.709, 117.316, 100.422, 96.16, 94.347]"
767,"[122.718, 122.154, 113.11, 100.335, 96.863, 95.947]"
770,"[116.834, 113.11, 107.77, 107.494, 106.78, 104.259]"
771,"[117.6, 109.725, 108.029, 107.782, 107.542, 105.813]"
772,"[122.378, 119.413, 117.956, 100.277, 96.69, 94.468]"
775,"[123.278, 122.29, 114.167, 98.899, 96.696, 95.538]"
778,"[116.257, 112.575, 108.996, 108.863, 105.254, 104.176]"
779,"[116.705, 109.269, 108.506, 108.204, 107.674, 106.236]"
780,"[123.635, 121.467, 119.13, 98.239, 97.221, 90.052]"
783,"[122.575, 121.641, 119.676, 98.083, 97.215, 91.071]"
786,"[113.891, 111.648, 109.999, 109.767, 106.948, 104.584]"
787,"[116.066, 111.414, 108.651, 107.632, 107.23, 105.902]"
788,"[123.319, 122.127, 119.052, 98.239, 97.267, 89.519]"
791,"[123.052, 120.631, 120.113, 98.355, 97.73, 90.327]"
794,"[113.879, 111.716, 109.913, 108.838, 107.266, 105.153]"
795,"[116.117, 112.544, 108.373, 107.668, 107.08, 105.183]"
796,"[121.749, 121.48, 119.144, 99.48, 96.235, 92.31]"
797,"[122.283, 120.371, 119.446, 99.114, 96.338, 93.113]"
802,"[114.671, 111.635, 109.105, 108.56, 108.397, 104.253]"
803,"[115.741, 110.096, 109.117, 108.071, 107.068, 106.696]"
804,"[121.702, 121.151, 119.098, 99.631, 96.327, 92.671]"
805,"[122.053, 120.285, 119.242, 99.265, 96.604, 93.382]"
810,"[114.576, 111.481, 109.147, 108.748, 108.482, 104.205]"
811,"[115.563, 109.694, 109.487, 108.451, 107.338, 106.23]"
812,"[121.655, 120.544, 118.999, 99.445, 96.881, 93.4]"
815,"[115.011, 110.5, 109.141, 108.905, 108.313, 104.803]"
816,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
817,"[111.851, 111.285, 110.334, 108.76, 108.138, 106.451]"
818,"[110.984, 110.188, 109.846, 109.798, 109.178, 106.798]"
819,"[109.828, 109.828, 109.293, 109.293, 109.293, 109.287]"
820,"[111.963, 111.963, 109.725, 109.725, 108.168, 105.331]"
821,"[111.389, 110.977, 110.959, 108.083, 107.818, 107.428]"
832,"[172.18, 121.783, 121.776, 92.333, 54.338, 54.338]"
833,"[161.971, 127.178, 110.542, 95.238, 56.151, 52.692]"
834,"[129.301, 129.301, 128.814, 84.721, 84.721, 83.748]"
835,"[114.06, 114.06, 112.228, 106.206, 106.206, 103.25]"
836,"[122.073, 116.878, 116.878, 102.345, 102.345, 84.785]"
