,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
174,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al1,4.0,3.0,3,3,0.026,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
174,100496.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al3,4.0,3.0,3,3,0.019,"[112.482, 111.235, 110.818, 108.433, 108.361, 105.236]"
175,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Al2,4.0,3.0,3,3,0.007,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
175,100496.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al4,4.0,3.0,3,3,0.019,"[111.309, 110.542, 110.176, 109.913, 107.951, 106.9]"
176,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Li1,4.0,1.0,2,1,0.05,"[140.642, 134.886, 119.144, 114.822, 76.803, 73.913]"
179,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Si1,4.0,4.0,3,4,0.026,"[113.035, 111.82, 110.506, 110.182, 110.127, 100.492]"
180,14235.cif,Al3+:3.996 Li1+:4.000 O2-:24.000 Si4+:8.004,Si2,4.0,4.0,3,4,0.007,"[115.233, 112.241, 112.241, 111.242, 103.079, 103.079]"
183,14360.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Be1,4.0,2.0,2,2,0.005,"[111.512, 110.683, 109.968, 109.396, 107.758, 107.392]"
188,14360.cif,Be2+:18.000 F1-:72.000 Li1+:36.000,Li1,4.0,1.0,2,1,0.008,"[116.545, 110.426, 109.603, 109.275, 106.427, 104.56]"
188,100497.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al1,4.0,3.0,3,3,0.009,"[115.163, 111.901, 110.048, 109.92, 104.975, 104.702]"
191,1485.cif,Li1+:8.000 O2-:16.000 Te6+:4.000,Li2,4.0,1.0,2,1,0.024,"[127.186, 127.178, 107.188, 100.568, 100.568, 96.846]"
191,100497.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al4,4.0,3.0,3,3,0.024,"[111.162, 110.757, 110.542, 109.913, 107.951, 106.439]"
194,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
195,150233.cif,Fe3+:1.512 Li1+:8.808 Mn3+:4.080 Mn4+:9.600 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
196,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
197,150234.cif,Fe3+:3.192 Li1+:8.096 Mn3+:4.520 Mn4+:8.200 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
198,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
199,150236.cif,Fe3+:7.296 Li1+:5.704 Mn3+:7.576 Mn4+:3.400 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
199,100497.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si1,4.0,4.0,3,4,0.009,"[115.163, 111.901, 110.048, 109.92, 104.975, 104.702]"
200,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
200,100497.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si2,4.0,4.0,3,4,0.021,"[112.142, 111.777, 111.002, 109.384, 106.457, 105.968]"
201,150237.cif,Fe3+:9.200 Li1+:5.600 Mn3+:6.011 Mn4+:3.200 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
201,100497.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si3,4.0,4.0,3,4,0.02,"[112.482, 111.235, 110.818, 108.433, 108.361, 105.236]"
202,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
202,100497.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si4,4.0,4.0,3,4,0.024,"[111.162, 110.757, 110.542, 109.913, 107.951, 106.439]"
203,150238.cif,Fe3+:11.144 Li1+:5.496 Mn3+:4.355 Mn4+:3.000 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.469, 109.469, 109.469, 109.469, 109.469, 109.469]"
203,100498.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al1,4.0,3.0,3,3,0.011,"[113.929, 111.642, 111.358, 109.396, 105.522, 104.827]"
204,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.475, 109.475, 109.475, 109.469, 109.469, 109.469]"
204,100498.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al2,4.0,3.0,3,3,0.021,"[112.513, 112.092, 110.941, 109.263, 105.998, 105.926]"
205,150239.cif,Fe3+:12.732 Li1+:5.168 Mn3+:1.824 Mn4+:3.648 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.475, 109.475, 109.469, 109.469, 109.469, 109.469]"
205,100498.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al3,4.0,3.0,3,3,0.017,"[112.334, 111.414, 110.824, 108.53, 108.252, 105.189]"
206,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.652, 109.652, 109.384, 109.384, 109.384, 109.384]"
206,100498.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al4,4.0,3.0,3,3,0.019,"[111.79, 110.298, 110.2, 110.157, 107.993, 106.308]"
207,150240.cif,Fe3+:14.948 Li1+:5.212 Mn3+:1.224 Mn4+:2.472 O2-:32.000,Li1,4.0,1.0,2,1,0.0,"[109.652, 109.652, 109.384, 109.384, 109.384, 109.384]"
208,150241.cif,Fe3+:17.576 Li1+:4.792 Mn3+:0.648 Mn4+:1.284 O2-:32.000,Fe1,4.0,3.0,4,8,0.008,"[109.731, 109.731, 109.725, 109.214, 109.214, 109.208]"
209,150241.cif,Fe3+:17.576 Li1+:4.792 Mn3+:0.648 Mn4+:1.284 O2-:32.000,Li1,4.0,1.0,2,1,0.002,"[109.731, 109.731, 109.731, 109.208, 109.208, 109.208]"
210,150242.cif,Fe3+:19.672 Li1+:3.944 O2-:32.000,Fe1,4.0,3.0,4,8,0.0,"[109.475, 109.475, 109.469, 109.469, 109.469, 109.469]"
217,15035.cif,As5+:4.000 Li1+:4.000 Mo6+:4.000 O2-:24.000,As1,4.0,5.0,4,5,0.042,"[111.457, 110.763, 110.751, 110.005, 106.942, 106.822]"
217,100498.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si3,4.0,4.0,3,4,0.017,"[112.334, 111.414, 110.824, 108.53, 108.252, 105.189]"
224,150451.cif,La3+:3.006 Li1+:1.206 Na1+:1.620 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.068,"[180.0, 180.0, 90.39, 90.39, 89.61, 89.61]"
225,150452.cif,La3+:2.952 Li1+:1.206 Na1+:1.872 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.065,"[180.0, 180.0, 90.355, 90.355, 89.645, 89.645]"
