,Cif,Name,Site,CN,OS,Period,Group,Angles
343,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O13,4.0,-2,2,6,"[129.22, 113.054, 112.886, 106.942, 101.748, 87.306]"
344,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,O14,4.0,-2,2,6,"[127.085, 116.238, 113.466, 107.957, 104.028, 82.444]"
347,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,P1,4.0,5,3,5,"[111.537, 111.438, 109.39, 108.657, 108.059, 107.71]"
348,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,P2,4.0,5,3,5,"[112.911, 111.611, 109.275, 108.349, 107.374, 107.374]"
349,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,P3,4.0,5,3,5,"[113.666, 112.88, 109.153, 107.86, 107.806, 105.575]"
350,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,P4,4.0,5,3,5,"[111.518, 110.916, 110.463, 110.011, 107.836, 105.95]"
351,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Zn1,4.0,2,4,2,"[119.888, 110.133, 107.398, 106.559, 106.099, 105.95]"
352,23017.cif,Li1+:16.000 O2-:32.000 P5+:8.000 Zn2+:4.000,Zn2,4.0,2,4,2,"[113.659, 112.693, 111.414, 110.555, 108.095, 99.904]"
353,2319.cif,Be2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Be1,4.0,2,2,2,"[113.335, 110.738, 110.738, 108.99, 108.99, 103.627]"
354,2319.cif,Be2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Li1,4.0,1,2,1,"[126.065, 110.463, 110.463, 109.214, 109.214, 83.114]"
356,2319.cif,Be2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,O1,4.0,-2,2,6,"[128.609, 119.321, 111.002, 105.831, 95.008, 86.629]"
357,2319.cif,Be2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,O2,4.0,-2,2,6,"[128.097, 117.174, 109.336, 107.08, 95.751, 89.249]"
358,2319.cif,Be2+:4.000 Li1+:8.000 O2-:16.000 Si4+:4.000,Si1,4.0,4,3,4,"[110.941, 110.934, 110.824, 109.664, 109.658, 104.661]"
359,23634.cif,Li1+:20.000 O2-:18.000 Zn2+:8.000,Li1,4.0,1,2,1,"[111.125, 111.125, 111.125, 111.119, 109.591, 102.627]"
360,23634.cif,Li1+:20.000 O2-:18.000 Zn2+:8.000,Li2,4.0,1,2,1,"[131.132, 107.152, 105.926, 105.248, 104.987, 97.487]"
362,23634.cif,Li1+:20.000 O2-:18.000 Zn2+:8.000,O2,4.0,-2,2,6,"[112.507, 112.507, 112.507, 112.507, 103.556, 103.556]"
364,23634.cif,Li1+:20.000 O2-:18.000 Zn2+:8.000,Zn1,4.0,2,4,2,"[114.023, 113.241, 111.987, 111.987, 102.445, 102.445]"
365,23723.cif,Li1+:8.000 O2-:16.000 S6+:4.000,Li1,4.0,1,2,1,"[115.182, 112.129, 108.917, 107.14, 106.684, 106.535]"
366,23723.cif,Li1+:8.000 O2-:16.000 S6+:4.000,Li2,4.0,1,2,1,"[124.59, 121.635, 114.639, 103.916, 103.904, 88.556]"
371,23723.cif,Li1+:8.000 O2-:16.000 S6+:4.000,S1,4.0,6,3,6,"[110.898, 109.968, 109.682, 109.597, 108.972, 107.704]"
372,23815.cif,Al3+:4.000 Li1+:4.000 O2-:8.000,Al1,4.0,3,3,3,"[111.895, 111.895, 110.671, 110.665, 109.926, 101.584]"
373,23815.cif,Al3+:4.000 Li1+:4.000 O2-:8.000,Li1,4.0,1,2,1,"[123.394, 110.879, 110.873, 110.628, 110.622, 83.287]"
374,23815.cif,Al3+:4.000 Li1+:4.000 O2-:8.000,O1,4.0,-2,2,6,"[124.597, 115.588, 111.266, 110.548, 100.894, 87.564]"
375,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[114.337, 114.331, 112.606, 112.6, 103.438, 100.003]"
376,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[112.142, 111.654, 108.705, 108.699, 107.842, 107.836]"
377,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[135.422, 135.414, 123.752, 123.745, 74.467, 74.467]"
378,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[130.67, 130.67, 117.911, 117.911, 83.125, 83.125]"
379,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[129.911, 128.932, 128.932, 126.491, 75.682, 75.682]"
384,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[112.315, 112.315, 111.014, 111.008, 107.206, 103.062]"
385,24888.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[115.614, 114.917, 113.922, 113.916, 99.66, 99.66]"
386,24896.cif,Al3+:1.320 Li1+:1.146 O2-:6.000 Si4+:1.680,Al1,4.0,3,3,3,"[112.855, 112.855, 111.697, 111.697, 103.999, 103.999]"
387,24896.cif,Al3+:1.320 Li1+:1.146 O2-:6.000 Si4+:1.680,Li1,4.0,1,2,1,"[127.561, 127.553, 126.698, 126.698, 78.042, 78.042]"
389,24896.cif,Al3+:1.320 Li1+:1.146 O2-:6.000 Si4+:1.680,Si1,4.0,4,3,4,"[112.855, 112.855, 111.697, 111.697, 103.999, 103.999]"
390,24897.cif,Al3+:0.999 Li1+:0.999 O2-:6.000 Si4+:2.001,Al1,4.0,3,3,3,"[112.557, 112.551, 110.977, 110.971, 104.981, 104.981]"
391,24897.cif,Al3+:0.999 Li1+:0.999 O2-:6.000 Si4+:2.001,Li1,4.0,1,2,1,"[127.799, 127.792, 126.641, 126.641, 77.895, 77.895]"
393,24897.cif,Al3+:0.999 Li1+:0.999 O2-:6.000 Si4+:2.001,Si1,4.0,4,3,4,"[112.557, 112.551, 110.977, 110.971, 104.981, 104.981]"
394,2512.cif,Li1+:8.000 O2-:16.000 S6+:4.000,Li1,4.0,1,2,1,"[115.658, 112.154, 109.141, 106.738, 106.637, 106.248]"
395,2512.cif,Li1+:8.000 O2-:16.000 S6+:4.000,Li2,4.0,1,2,1,"[124.82, 121.091, 114.18, 104.176, 104.17, 88.757]"
400,2512.cif,Li1+:8.000 O2-:16.000 S6+:4.000,S1,4.0,6,3,6,"[110.646, 110.353, 109.542, 109.487, 108.784, 107.975]"
401,25383.cif,Li1+:4.000 O2-:30.000 V4+:4.000 V5+:8.000,Li1,4.0,1,2,1,"[147.693, 108.445, 101.607, 101.607, 97.083, 97.083]"
403,25383.cif,Li1+:4.000 O2-:30.000 V4+:4.000 V5+:8.000,O2,4.0,-2,2,6,"[147.597, 104.934, 104.934, 96.944, 94.313, 94.313]"
407,25383.cif,Li1+:4.000 O2-:30.000 V4+:4.000 V5+:8.000,O6,4.0,-2,2,6,"[117.149, 117.149, 109.987, 109.987, 108.445, 92.912]"
413,26337.cif,Li1+:4.000 O2-:16.000 Rb1+:4.000 S6+:4.000,Li1,4.0,1,2,1,"[114.469, 111.285, 110.048, 109.445, 109.063, 102.386]"
419,26337.cif,Li1+:4.000 O2-:16.000 Rb1+:4.000 S6+:4.000,S1,4.0,6,3,6,"[109.798, 109.712, 109.566, 109.354, 109.244, 109.16]"
420,26452.cif,Li1+:16.000 O2-:40.000 Te4+:16.000,Li1,4.0,1,2,1,"[120.205, 119.354, 117.419, 115.385, 88.705, 86.549]"
421,26452.cif,Li1+:16.000 O2-:40.000 Te4+:16.000,Li2,4.0,1,2,1,"[119.222, 116.385, 114.708, 112.185, 97.158, 93.325]"
423,26452.cif,Li1+:16.000 O2-:40.000 Te4+:16.000,O2,4.0,-2,2,6,"[133.678, 120.497, 115.874, 104.253, 86.084, 81.755]"
425,26452.cif,Li1+:16.000 O2-:40.000 Te4+:16.000,O4,4.0,-2,2,6,"[125.725, 123.257, 118.718, 99.039, 94.037, 87.799]"
427,26452.cif,Li1+:16.000 O2-:40.000 Te4+:16.000,Te1,4.0,4,5,6,"[176.861, 98.969, 97.348, 94.462, 85.796, 85.043]"
428,26452.cif,Li1+:16.000 O2-:40.000 Te4+:16.000,Te2,4.0,4,5,6,"[166.41, 100.574, 96.252, 91.582, 90.407, 77.209]"
429,26817.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Al1,4.0,3,3,3,"[112.625, 112.222, 110.959, 109.993, 109.524, 100.929]"
430,26817.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Al2,4.0,3,3,3,"[113.96, 112.365, 112.365, 111.672, 103.391, 103.391]"
431,26817.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Li1,4.0,1,2,1,"[139.447, 130.466, 121.339, 120.232, 77.42, 74.157]"
435,26817.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si1,4.0,4,3,4,"[112.625, 112.222, 110.959, 109.993, 109.524, 100.929]"
436,26817.cif,Al3+:4.000 Li1+:4.000 O2-:24.000 Si4+:8.000,Si2,4.0,4,3,4,"[113.96, 112.365, 112.365, 111.672, 103.391, 103.391]"
437,27212.cif,Li1+:8.000 Na1+:16.000 O2-:120.000 Si4+:48.000 Y3+:8.000,Li1,4.0,1,2,1,"[131.575, 131.575, 107.368, 99.927, 95.647, 95.647]"
445,27316.cif,B3+:8.000 H1+:32.000 Li1+:8.000 O2-:32.000,B1,4.0,3,2,3,"[113.285, 112.297, 109.105, 109.05, 106.714, 106.499]"
450,27316.cif,B3+:8.000 H1+:32.000 Li1+:8.000 O2-:32.000,Li1,4.0,1,2,1,"[121.662, 113.148, 110.396, 106.768, 104.614, 99.846]"
451,27316.cif,B3+:8.000 H1+:32.000 Li1+:8.000 O2-:32.000,O1,4.0,-2,2,6,"[127.243, 127.006, 107.122, 101.221, 99.155, 89.244]"
454,27316.cif,B3+:8.000 H1+:32.000 Li1+:8.000 O2-:32.000,O4,4.0,-2,2,6,"[132.493, 124.139, 113.067, 105.95, 87.042, 86.376]"
455,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[112.594, 112.594, 112.513, 112.513, 107.866, 98.679]"
456,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[113.547, 110.689, 109.372, 109.372, 106.948, 106.942]"
457,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[129.851, 129.851, 118.725, 118.725, 83.027, 83.027]"
458,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[134.491, 134.491, 124.34, 124.34, 74.639, 74.639]"
459,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[131.583, 128.017, 128.01, 127.604, 75.298, 75.298]"
464,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[113.778, 113.778, 111.217, 111.217, 105.147, 101.976]"
465,2929.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[115.018, 114.734, 114.734, 110.597, 101.145, 101.14]"
466,2935.cif,Al3+:2.000 Li1+:2.000 O2-:6.000 Si4+:1.000,Al1,4.0,3,3,3,"[113.347, 113.341, 112.037, 112.037, 103.215, 103.209]"
467,2935.cif,Al3+:2.000 Li1+:2.000 O2-:6.000 Si4+:1.000,Li1,4.0,1,2,1,"[127.071, 127.071, 126.079, 126.079, 78.948, 78.948]"
469,2935.cif,Al3+:2.000 Li1+:2.000 O2-:6.000 Si4+:1.000,Si1,4.0,4,3,4,"[113.347, 113.341, 112.037, 112.037, 103.215, 103.209]"
470,30718.cif,Fe3+:8.000 Li1+:40.000 O2-:32.000,Fe1,4.0,3,4,8,"[121.823, 118.32, 105.141, 103.097, 102.985, 102.985]"
471,30718.cif,Fe3+:8.000 Li1+:40.000 O2-:32.000,Li1,4.0,1,2,1,"[123.148, 119.354, 103.521, 103.244, 102.627, 101.595]"
472,30718.cif,Fe3+:8.000 Li1+:40.000 O2-:32.000,Li2,4.0,1,2,1,"[128.178, 121.386, 106.894, 102.005, 101.806, 92.596]"
473,30718.cif,Fe3+:8.000 Li1+:40.000 O2-:32.000,Li3,4.0,1,2,1,"[122.868, 121.272, 107.218, 104.087, 102.087, 94.043]"
474,30718.cif,Fe3+:8.000 Li1+:40.000 O2-:32.000,Li4,4.0,1,2,1,"[129.227, 120.159, 103.792, 102.727, 100.265, 91.232]"
475,30718.cif,Fe3+:8.000 Li1+:40.000 O2-:32.000,Li5,4.0,1,2,1,"[126.413, 125.149, 104.241, 101.163, 99.59, 91.438]"
482,30909.cif,Ba2+:8.000 Li1+:12.000 O2-:84.000 P5+:28.000,Li1,4.0,1,2,1,"[137.24, 124.569, 114.866, 104.975, 92.912, 85.992]"
483,30909.cif,Ba2+:8.000 Li1+:12.000 O2-:84.000 P5+:28.000,Li2,4.0,1,2,1,"[145.035, 109.002, 101.865, 101.812, 93.055, 92.378]"
484,30909.cif,Ba2+:8.000 Li1+:12.000 O2-:84.000 P5+:28.000,Li3,4.0,1,2,1,"[128.492, 114.595, 112.712, 110.402, 101.8, 89.032]"
504,30909.cif,Ba2+:8.000 Li1+:12.000 O2-:84.000 P5+:28.000,O20,4.0,-2,2,6,"[133.789, 115.417, 114.967, 111.229, 77.725, 76.503]"
505,30982.cif,Al3+:18.000 Li1+:18.000 O2-:72.000 Si4+:18.000,Al1,4.0,3,3,3,"[112.569, 110.096, 109.402, 108.566, 108.174, 107.975]"
506,30982.cif,Al3+:18.000 Li1+:18.000 O2-:72.000 Si4+:18.000,Al2,4.0,3,3,3,"[112.334, 111.728, 109.323, 109.026, 107.848, 106.374]"
507,30982.cif,Al3+:18.000 Li1+:18.000 O2-:72.000 Si4+:18.000,Li1,4.0,1,2,1,"[119.974, 109.932, 108.126, 106.804, 106.254, 105.189]"
511,30983.cif,Al3+:18.000 Li1+:18.000 O2-:72.000 Si4+:18.000,Al1,4.0,3,3,3,"[112.532, 110.023, 109.421, 108.663, 108.168, 107.975]"
512,30983.cif,Al3+:18.000 Li1+:18.000 O2-:72.000 Si4+:18.000,Al2,4.0,3,3,3,"[112.389, 111.672, 109.336, 109.02, 107.806, 106.409]"
513,30983.cif,Al3+:18.000 Li1+:18.000 O2-:72.000 Si4+:18.000,Li1,4.0,1,2,1,"[119.96, 109.755, 108.288, 106.696, 106.302, 105.308]"
517,32594.cif,Al3+:3.000 Li1+:2.700 O2-:12.000 Si4+:3.000,Al1,4.0,3,3,3,"[112.309, 112.303, 111.722, 111.716, 104.501, 104.501]"
518,32594.cif,Al3+:3.000 Li1+:2.700 O2-:12.000 Si4+:3.000,Li2,4.0,1,2,1,"[125.002, 125.002, 124.555, 124.548, 81.906, 81.906]"
519,32594.cif,Al3+:3.000 Li1+:2.700 O2-:12.000 Si4+:3.000,Li1,4.0,1,2,1,"[128.962, 128.962, 128.881, 128.881, 75.138, 75.138]"
521,32594.cif,Al3+:3.000 Li1+:2.700 O2-:12.000 Si4+:3.000,Si1,4.0,4,3,4,"[113.447, 113.441, 113.335, 113.335, 101.894, 101.888]"
522,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al1,4.0,3,3,3,"[113.572, 113.566, 112.986, 112.979, 105.474, 98.517]"
523,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Al2,4.0,3,3,3,"[113.634, 112.173, 109.044, 109.038, 106.529, 106.529]"
524,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li1,4.0,1,2,1,"[130.023, 130.016, 118.672, 118.672, 82.941, 82.941]"
525,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li2,4.0,1,2,1,"[134.307, 134.307, 123.491, 123.491, 75.505, 75.505]"
526,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Li3,4.0,1,2,1,"[129.896, 128.411, 128.411, 127.647, 75.659, 75.659]"
531,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si1,4.0,4,3,4,"[113.666, 113.659, 111.352, 111.352, 105.759, 101.28]"
532,32595.cif,Al3+:12.000 Li1+:12.000 O2-:48.000 Si4+:12.000,Si2,4.0,4,3,4,"[114.948, 114.526, 114.526, 113.478, 100.067, 100.061]"
534,33251.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,Li1,4.0,1,2,1,"[113.035, 113.017, 113.011, 105.635, 105.635, 105.629]"
537,33251.cif,K1+:2.000 Li1+:2.000 O2-:8.000 S6+:2.000,S1,4.0,6,3,6,"[110.359, 110.347, 110.334, 108.584, 108.578, 108.578]"
538,33279.cif,Fe3+:4.000 Li1+:12.000 Na1+:8.000 O2-:16.000,Fe1,4.0,3,4,8,"[117.859, 111.069, 109.269, 109.269, 104.578, 104.578]"
539,33279.cif,Fe3+:4.000 Li1+:12.000 Na1+:8.000 O2-:16.000,Li1,4.0,1,2,1,"[120.053, 119.545, 117.033, 105.248, 101.935, 92.51]"
540,33279.cif,Fe3+:4.000 Li1+:12.000 Na1+:8.000 O2-:16.000,Li2,4.0,1,2,1,"[127.945, 110.182, 110.182, 103.456, 103.456, 96.142]"
546,33280.cif,Fe3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Fe1,4.0,3,4,8,"[114.891, 114.349, 111.506, 105.581, 104.892, 104.383]"
549,33280.cif,Fe3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Li1,4.0,1,2,1,"[127.553, 126.62, 113.71, 99.48, 96.794, 94.106]"
550,33280.cif,Fe3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Li2,4.0,1,2,1,"[123.216, 122.256, 121.601, 101.327, 98.61, 88.728]"
551,33280.cif,Fe3+:4.000 K1+:8.000 Li1+:12.000 O2-:16.000,Li3,4.0,1,2,1,"[127.604, 122.364, 109.688, 104.247, 102.75, 92.052]"
556,33761.cif,Li1+:8.000 Mn5+:16.000 Na1+:40.000 O2-:64.000,Li1,4.0,1,2,1,"[120.897, 111.377, 111.352, 108.113, 102.868, 102.31]"
557,33761.cif,Li1+:8.000 Mn5+:16.000 Na1+:40.000 O2-:64.000,Mn1,4.0,5,4,7,"[113.666, 110.084, 110.084, 108.319, 107.236, 107.236]"
558,33761.cif,Li1+:8.000 Mn5+:16.000 Na1+:40.000 O2-:64.000,Mn2,4.0,5,4,7,"[113.067, 110.359, 110.194, 108.132, 108.095, 106.966]"
559,33761.cif,Li1+:8.000 Mn5+:16.000 Na1+:40.000 O2-:64.000,Mn3,4.0,5,4,7,"[110.561, 109.457, 109.457, 109.415, 109.415, 108.512]"
569,33761.cif,Li1+:8.000 Mn5+:16.000 Na1+:40.000 O2-:64.000,O4,4.0,-2,2,6,"[121.305, 118.783, 118.783, 115.487, 82.837, 82.837]"
570,33761.cif,Li1+:8.000 Mn5+:16.000 Na1+:40.000 O2-:64.000,O5,4.0,-2,2,6,"[133.575, 128.829, 119.591, 94.721, 93.847, 74.586]"
574,33809.cif,Cs1+:4.000 Li1+:4.000 O2-:8.000 Si4+:2.000,Li1,4.0,1,2,1,"[132.617, 123.298, 120.83, 99.962, 99.416, 81.674]"
575,33809.cif,Cs1+:4.000 Li1+:4.000 O2-:8.000 Si4+:2.000,Li2,4.0,1,2,1,"[126.427, 123.835, 123.093, 103.433, 95.302, 77.942]"
580,33809.cif,Cs1+:4.000 Li1+:4.000 O2-:8.000 Si4+:2.000,Si1,4.0,4,3,4,"[113.06, 112.855, 111.057, 110.267, 104.868, 104.501]"
583,33810.cif,Cs1+:4.000 Li1+:4.000 O2-:8.000 Ti4+:2.000,Li1,4.0,1,2,1,"[124.277, 123.511, 119.67, 101.245, 101.029, 87.168]"
584,33810.cif,Cs1+:4.000 Li1+:4.000 O2-:8.000 Ti4+:2.000,Li2,4.0,1,2,1,"[125.163, 123.018, 122.881, 103.474, 92.069, 83.466]"
589,33810.cif,Cs1+:4.000 Li1+:4.000 O2-:8.000 Ti4+:2.000,Ti1,4.0,4,4,4,"[114.753, 113.891, 112.204, 108.198, 105.67, 101.812]"
590,33864.cif,Li1+:28.000 O2-:32.000 Rb1+:4.000 Si4+:8.000,Li1,4.0,1,2,1,"[124.507, 107.488, 107.488, 105.92, 105.92, 103.704]"
591,33864.cif,Li1+:28.000 O2-:32.000 Rb1+:4.000 Si4+:8.000,Li2,4.0,1,2,1,"[124.729, 108.156, 106.26, 106.26, 105.313, 105.313]"
592,33864.cif,Li1+:28.000 O2-:32.000 Rb1+:4.000 Si4+:8.000,Li3,4.0,1,2,1,"[180.0, 180.0, 98.662, 98.662, 81.338, 81.338]"
593,33864.cif,Li1+:28.000 O2-:32.000 Rb1+:4.000 Si4+:8.000,Li4,4.0,1,2,1,"[180.0, 180.0, 99.631, 99.631, 80.369, 80.369]"
603,33864.cif,Li1+:28.000 O2-:32.000 Rb1+:4.000 Si4+:8.000,Si1,4.0,4,3,4,"[114.274, 110.481, 110.481, 108.168, 108.168, 104.78]"
604,33864.cif,Li1+:28.000 O2-:32.000 Rb1+:4.000 Si4+:8.000,Si2,4.0,4,3,4,"[114.293, 109.877, 109.877, 107.686, 107.686, 107.14]"
605,33890.cif,Co3+:4.000 Li1+:12.000 Na1+:8.000 O2-:16.000,Co1,4.0,3,4,8,"[123.264, 111.777, 108.017, 108.017, 102.721, 102.721]"
606,33890.cif,Co3+:4.000 Li1+:12.000 Na1+:8.000 O2-:16.000,Li1,4.0,1,2,1,"[119.775, 118.967, 116.718, 104.578, 103.833, 92.768]"
607,33890.cif,Co3+:4.000 Li1+:12.000 Na1+:8.000 O2-:16.000,Li2,4.0,1,2,1,"[122.351, 112.662, 112.662, 103.026, 103.026, 99.079]"
614,34073.cif,Fe3+:8.000 Li1+:8.000 Na1+:16.000 O2-:120.000 Si4+:48.000,Li1,4.0,1,2,1,"[135.398, 135.398, 111.395, 110.53, 85.998, 85.998]"
623,34950.cif,Fe3+:8.000 Li1+:8.000 Na1+:16.000 O2-:120.000 Si4+:48.000,Li1,4.0,1,2,1,"[135.955, 135.955, 112.247, 110.267, 85.325, 85.325]"
631,35018.cif,Li1+:11.840 P5+:4.000 S2-:16.000,Li3,4.0,1,2,1,"[130.95, 111.42, 111.42, 105.801, 95.187, 95.187]"
633,35018.cif,Li1+:11.840 P5+:4.000 S2-:16.000,Li1,4.0,1,2,1,"[119.723, 115.938, 113.766, 109.932, 108.144, 84.957]"
634,35018.cif,Li1+:11.840 P5+:4.000 S2-:16.000,P1,4.0,5,3,5,"[113.96, 112.961, 108.723, 108.723, 106.278, 106.278]"
640,35161.cif,Al3+:2.000 Cr3+:4.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,Li1,4.0,1,2,1,"[116.475, 116.455, 116.455, 100.982, 100.982, 100.976]"
641,35161.cif,Al3+:2.000 Cr3+:4.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,Li2,4.0,1,2,1,"[115.639, 115.639, 115.639, 102.656, 102.656, 102.656]"
642,35161.cif,Al3+:2.000 Cr3+:4.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O1,4.0,-2,2,6,"[115.423, 115.423, 115.423, 115.423, 115.423, 115.423, 102.921, 102.921, 102.921, 102.921, 102.921, 102.921, 102.921, 102.921, 102.915, 102.915, 102.915, 102.915, 0.0, 0.0, 0.0]"
643,35161.cif,Al3+:2.000 Cr3+:4.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O2,4.0,-2,2,6,"[126.242, 126.242, 126.235, 126.235, 126.235, 126.235, 88.613, 88.613, 88.613, 88.613, 88.613, 88.613, 88.613, 88.613, 88.608, 88.608, 88.608, 88.608, 0.0, 0.0, 0.0]"
644,35161.cif,Al3+:2.000 Cr3+:4.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O3,4.0,-2,2,6,"[126.42, 117.142, 117.142, 117.142, 117.142, 99.677, 99.677, 99.677, 99.677, 89.33, 89.33, 89.33, 89.33, 0.0, 0.0]"
645,35161.cif,Al3+:2.000 Cr3+:4.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O4,4.0,-2,2,6,"[128.01, 128.01, 128.01, 128.01, 123.89, 94.842, 94.842, 94.842, 94.842, 83.644, 83.644, 83.644, 83.644, 0.0, 0.0]"
649,35162.cif,Al3+:4.000 Cr3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,Li1,4.0,1,2,1,"[116.667, 116.647, 116.647, 100.667, 100.667, 100.667]"
651,35162.cif,Al3+:4.000 Cr3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O1,4.0,-2,2,6,"[116.673, 116.673, 116.673, 116.673, 116.673, 116.673, 101.408, 101.408, 101.408, 101.408, 101.408, 101.408, 101.408, 101.408, 101.402, 101.402, 101.402, 101.402, 0.0, 0.0, 0.0]"
653,35162.cif,Al3+:4.000 Cr3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O3,4.0,-2,2,6,"[130.814, 117.374, 117.374, 117.374, 117.374, 96.875, 96.875, 96.875, 96.875, 87.748, 87.748, 87.748, 87.748, 0.0, 0.0]"
654,35162.cif,Al3+:4.000 Cr3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O4,4.0,-2,2,6,"[131.132, 131.132, 131.132, 131.132, 113.985, 96.471, 96.471, 96.471, 96.471, 80.113, 80.113, 80.113, 80.113, 0.0, 0.0]"
658,35163.cif,Cr3+:4.000 Fe3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,Li1,4.0,1,2,1,"[116.744, 116.718, 116.718, 100.545, 100.545, 100.545]"
659,35163.cif,Cr3+:4.000 Fe3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,Li2,4.0,1,2,1,"[112.383, 112.383, 112.383, 106.409, 106.409, 106.409]"
660,35163.cif,Cr3+:4.000 Fe3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O1,4.0,-2,2,6,"[118.333, 118.333, 118.333, 118.333, 118.333, 118.333, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 99.329, 0.0, 0.0, 0.0]"
661,35163.cif,Cr3+:4.000 Fe3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O2,4.0,-2,2,6,"[122.663, 122.663, 122.656, 122.656, 122.656, 122.656, 93.629, 93.629, 93.629, 93.629, 93.629, 93.629, 93.629, 93.629, 93.612, 93.612, 93.612, 93.612, 0.0, 0.0, 0.0]"
662,35163.cif,Cr3+:4.000 Fe3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O3,4.0,-2,2,6,"[129.509, 114.111, 114.111, 114.111, 114.111, 102.644, 102.644, 102.644, 102.644, 84.03, 84.03, 84.03, 84.03, 0.0, 0.0]"
663,35163.cif,Cr3+:4.000 Fe3+:2.000 Li1+:4.000 O2-:16.000 Sb5+:2.000,O4,4.0,-2,2,6,"[129.725, 129.725, 129.725, 129.725, 125.951, 94.52, 94.52, 94.52, 94.52, 79.03, 79.03, 79.03, 79.03, 0.0, 0.0]"
